goos: darwin
goarch: arm64
pkg: github.com/jsmestad/minga/go/tui/internal/ui
cpu: Apple M1
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   5241291 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   6263584 ns/op	  920832 B/op	   28710 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   4731792 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   4105750 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   3319375 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   3160458 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   3021083 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2818000 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2778500 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2728292 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2942125 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2710125 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2879958 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2788917 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2994958 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2682958 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2957000 ns/op	  920736 B/op	   28708 allocs/op
BenchmarkTranscriptWarmUpdateView/messages_100-8         	       1	   2695250 ns/op	  920736 B/op	   28708 allocs/op
