# kind|name|repo|ref|scanner_ext|src_subdir|query_subdir
core|tree-sitter|tree-sitter/tree-sitter|v0.26.8|-|-|-
grammar|elixir|elixir-lang/tree-sitter-elixir|v0.3.5|c|src|queries
grammar|heex|the-mikedavis/tree-sitter-heex|v0.2.1|-|src|queries
grammar|json|tree-sitter/tree-sitter-json|v0.24.8|-|src|queries
grammar|yaml|tree-sitter-grammars/tree-sitter-yaml|v0.7.2|c|src|queries
grammar|toml|tree-sitter/tree-sitter-toml|v0.5.1|c|src|queries
grammar|markdown|tree-sitter-grammars/tree-sitter-markdown|v0.5.3|c|tree-sitter-markdown/src|tree-sitter-markdown/queries
grammar|markdown_inline|tree-sitter-grammars/tree-sitter-markdown|v0.5.3|c|tree-sitter-markdown-inline/src|tree-sitter-markdown-inline/queries
grammar|ruby|tree-sitter/tree-sitter-ruby|v0.23.1|c|src|queries
grammar|javascript|tree-sitter/tree-sitter-javascript|v0.25.0|c|src|queries
grammar|typescript|tree-sitter/tree-sitter-typescript|v0.23.2|c|typescript/src|queries
grammar|tsx|tree-sitter/tree-sitter-typescript|v0.23.2|c|tsx/src|queries
grammar|go|tree-sitter/tree-sitter-go|v0.25.0|-|src|queries
grammar|rust|tree-sitter/tree-sitter-rust|v0.24.2|c|src|queries
grammar|zig|tree-sitter-grammars/tree-sitter-zig|v1.1.2|-|src|queries
grammar|erlang|WhatsApp/tree-sitter-erlang|0.17|c|src|queries
grammar|bash|tree-sitter/tree-sitter-bash|v0.25.1|c|src|queries
grammar|c|tree-sitter/tree-sitter-c|v0.24.2|-|src|queries
grammar|cpp|tree-sitter/tree-sitter-cpp|v0.23.4|c|src|queries
grammar|html|tree-sitter/tree-sitter-html|v0.23.2|c|src|queries
grammar|css|tree-sitter/tree-sitter-css|v0.25.0|c|src|queries
grammar|lua|tree-sitter-grammars/tree-sitter-lua|v0.5.0|c|src|queries
grammar|python|tree-sitter/tree-sitter-python|v0.25.0|c|src|queries
grammar|kotlin|fwcd/tree-sitter-kotlin|0.3.8|c|src|queries
grammar|gleam|gleam-lang/tree-sitter-gleam|v1.1.0|c|src|queries
grammar|java|tree-sitter/tree-sitter-java|v0.23.5|-|src|queries
grammar|c_sharp|tree-sitter/tree-sitter-c-sharp|v0.23.5|c|src|queries
grammar|php|tree-sitter/tree-sitter-php|v0.24.2|c|php/src|php/queries
grammar|dockerfile|camdencheek/tree-sitter-dockerfile|main|c|src|queries
grammar|hcl|tree-sitter-grammars/tree-sitter-hcl|v1.2.0|c|src|queries
grammar|scss|serenadeai/tree-sitter-scss|v1.0.0|c|src|queries
grammar|graphql|bkegley/tree-sitter-graphql|master|-|src|queries
grammar|nix|nix-community/tree-sitter-nix|v0.3.0|c|src|queries
grammar|ocaml|tree-sitter/tree-sitter-ocaml|v0.25.0|c|grammars/ocaml/src|queries
grammar|haskell|tree-sitter/tree-sitter-haskell|v0.23.1|c|src|queries
grammar|scala|tree-sitter/tree-sitter-scala|v0.26.0|c|src|queries
grammar|r|r-lib/tree-sitter-r|v1.2.0|c|src|queries
grammar|dart|UserNobody14/tree-sitter-dart|master|c|src|queries
grammar|make|tree-sitter-grammars/tree-sitter-make|v1.1.1|-|src|queries
grammar|diff|the-mikedavis/tree-sitter-diff|v3.0.0|-|src|queries
grammar|elisp|Wilfred/tree-sitter-elisp|1.6.1|-|src|queries
grammar|clojure|sogaiu/tree-sitter-clojure|e43eff8|-|src|queries
grammar|objc|amaanq/tree-sitter-objc|181a81b|-|src|queries
grammar|sql|DerekStride/tree-sitter-sql|c2e1e08|c|src|queries
grammar|xml|tree-sitter-grammars/tree-sitter-xml|5000ae8|c|xml/src|xml/queries
grammar|ini|justinmk/tree-sitter-ini|e4018b5|-|src|queries
grammar|swift|alex-pinkus/tree-sitter-swift|3d38a39|c|src|queries
grammar|vim|tree-sitter-grammars/tree-sitter-vim|3092fcd|c|src|queries
grammar|protobuf|treywood/tree-sitter-proto|e9f6b43|-|src|queries
grammar|fish|ram02z/tree-sitter-fish|f435b0b|c|src|queries
manual|perl|tree-sitter-perl/tree-sitter-perl|21fd668|c|src|queries
